PERMNO,date,TICKER,COMNAM,CUSIP,PRC,VOL
85914,20021108,BBY,BEST BUY COMPANY INC,08651610,18.49000,5073100
85914,20021111,BBY,BEST BUY COMPANY INC,08651610,17.68000,7232100
85914,20021112,BBY,BEST BUY COMPANY INC,08651610,18.36000,6577300
85914,20021113,BBY,BEST BUY COMPANY INC,08651610,19.05000,6527300
85914,20021114,BBY,BEST BUY COMPANY INC,08651610,20.39000,6102100
85914,20021115,BBY,BEST BUY COMPANY INC,08651610,20.75000,4536200
85914,20021118,BBY,BEST BUY COMPANY INC,08651610,22.31000,8901200
85914,20021119,BBY,BEST BUY COMPANY INC,08651610,23.09000,8904300
85914,20021120,BBY,BEST BUY COMPANY INC,08651610,24.58000,8103400
85914,20021121,BBY,BEST BUY COMPANY INC,08651610,26.21000,10656700
85914,20021122,BBY,BEST BUY COMPANY INC,08651610,25.43000,5547800
85914,20021125,BBY,BEST BUY COMPANY INC,08651610,25.58000,5116400
85914,20021126,BBY,BEST BUY COMPANY INC,08651610,25.62000,5575700
85914,20021127,BBY,BEST BUY COMPANY INC,08651610,27.03000,6361100
85914,20021129,BBY,BEST BUY COMPANY INC,08651610,27.68000,3577100
85914,20021202,BBY,BEST BUY COMPANY INC,08651610,28.05000,12267200
85914,20021203,BBY,BEST BUY COMPANY INC,08651610,26.39000,7859600
85914,20021204,BBY,BEST BUY COMPANY INC,08651610,26.83000,6940500
85914,20021205,BBY,BEST BUY COMPANY INC,08651610,26.72000,7552600
85914,20021206,BBY,BEST BUY COMPANY INC,08651610,26.60000,3497500
85914,20021209,BBY,BEST BUY COMPANY INC,08651610,25.27000,3904900
85914,20021210,BBY,BEST BUY COMPANY INC,08651610,26.02000,3866800
85914,20021211,BBY,BEST BUY COMPANY INC,08651610,25.58000,2333100
85914,20021212,BBY,BEST BUY COMPANY INC,08651610,25.97000,2716500
85914,20021213,BBY,BEST BUY COMPANY INC,08651610,25.80000,3358700
85914,20021216,BBY,BEST BUY COMPANY INC,08651610,25.40000,5137800
85914,20021217,BBY,BEST BUY COMPANY INC,08651610,24.00000,9589000
85914,20021218,BBY,BEST BUY COMPANY INC,08651610,24.57000,7187700
85914,20021219,BBY,BEST BUY COMPANY INC,08651610,23.70000,3459400
85914,20021220,BBY,BEST BUY COMPANY INC,08651610,24.75000,4213700
85914,20021223,BBY,BEST BUY COMPANY INC,08651610,23.97000,4912800
85914,20021224,BBY,BEST BUY COMPANY INC,08651610,22.49000,3467300
85914,20021226,BBY,BEST BUY COMPANY INC,08651610,23.30000,3428900
85914,20021227,BBY,BEST BUY COMPANY INC,08651610,23.11000,1729700
85914,20021230,BBY,BEST BUY COMPANY INC,08651610,23.68000,2603100
85914,20021231,BBY,BEST BUY COMPANY INC,08651610,24.15000,2879400
85914,20030102,BBY,BEST BUY COMPANY INC,08651610,24.96000,3039500
85914,20030103,BBY,BEST BUY COMPANY INC,08651610,23.86000,3947100
85914,20030106,BBY,BEST BUY COMPANY INC,08651610,24.11000,3478800
85914,20030107,BBY,BEST BUY COMPANY INC,08651610,24.75000,4061000
85914,20030108,BBY,BEST BUY COMPANY INC,08651610,24.40000,3267100
85914,20030109,BBY,BEST BUY COMPANY INC,08651610,27.34000,9039900
85914,20030110,BBY,BEST BUY COMPANY INC,08651610,27.40000,4895500
