PERMNO,date,TICKER,COMNAM,CUSIP,BIDLO,ASKHI,PRC,VOL,BID,ASK,SHROUT,CFACPR
84415,20041130,BPHX,BLUEPHOENIX SOLUTIONS LTD,M7037810,4.03000,4.40900,4.09990,1959,4.10000,4.11000,13522,0.25
84415,20041231,BPHX,BLUEPHOENIX SOLUTIONS LTD,M7037810,3.92000,4.25000,4.25000,3560,4.25000,4.35000,13550,0.25
84415,20050131,BPHX,BLUEPHOENIX SOLUTIONS LTD,M7037810,3.90000,4.20000,3.92000,1852,3.88000,4.06000,13550,0.25
84415,20050228,BPHX,BLUEPHOENIX SOLUTIONS LTD,M7037810,3.91000,4.75000,4.75000,2994,4.70000,4.75000,13550,0.25
84415,20050331,BPHX,BLUEPHOENIX SOLUTIONS LTD,M7037810,4.25000,4.75000,4.39000,2607,4.33000,4.39000,13556,0.25
84415,20050429,BPHX,BLUEPHOENIX SOLUTIONS LTD,M7037810,4.05000,4.47000,4.16000,746,4.10000,4.23000,13556,0.25
84415,20050531,BPHX,BLUEPHOENIX SOLUTIONS LTD,M7037810,3.99000,4.49000,3.99000,428,3.95000,3.99000,13556,0.25
84415,20050630,BPHX,BLUEPHOENIX SOLUTIONS LTD,M7037810,3.91000,4.39000,4.36000,650,4.17000,4.32000,13556,0.25
84415,20050729,BPHX,BLUEPHOENIX SOLUTIONS LTD,M7037810,3.85000,4.25000,-4.05000,261,4.00000,4.10000,13556,0.25
84415,20050831,BPHX,BLUEPHOENIX SOLUTIONS LTD,M7037810,3.85000,4.16000,3.85000,1854,3.85000,4.00000,13556,0.25
84415,20050930,BPHX,BLUEPHOENIX SOLUTIONS LTD,M7037810,3.87000,4.30000,4.29000,673,4.05000,4.29000,13556,0.25
84415,20051031,BPHX,BLUEPHOENIX SOLUTIONS LTD,M7037810,3.81000,4.30000,4.00000,313,4.00000,4.09000,13556,0.25
84415,20051130,BPHX,BLUEPHOENIX SOLUTIONS LTD,M7037810,3.85000,4.10000,4.00000,430,3.94000,4.00000,13557,0.25
84415,20051230,BPHX,BLUEPHOENIX SOLUTIONS LTD,M7037810,3.90000,4.20000,4.08000,985,3.92000,4.02000,13560,0.25
84415,20060131,BPHX,BLUEPHOENIX SOLUTIONS LTD,M7037810,3.85000,4.31000,4.10000,2079,4.10000,4.35000,13560,0.25
